,Name,Converge,Loss,Hitratio,NDCG,Compressionratio,Stdtime
0,nc30-panone-ptnone-badirect.out,5,0.14365359132832822,0.7135254092763552,0.6840551647510196,0.11999999837436917,14.372292466306305
1,nc50-panone-ptquantile-cr0.5-banone.out,49,0.017786427180867405,0.8618937616206118,0.9073721195049077,0.5388930807746819,7.0759207524331496
2,nc50-panone-ptquantile-cr0.5-basgd-r20.9.out,47,0.020260228334174856,0.8613228281226698,0.8898568999192582,0.5388930851182185,6.6108157007499
3,nc30-panone-ptquantile-cr0.5-badirect.out,4,0.14521800587362457,0.6991503480697655,0.6928830619430889,0.05372984545920332,13.934962558839056
4,nc50-paadaptive-ptquantile-cr0.5-ar0.9-basgd-r20.9.out,49,0.016697328240177473,0.8686478124845953,0.904514676560781,0.19629100223938603,6.415068143143414
5,nc50-paadaptive-ptquantile-cr0.5-ar0.9-banone.out,45,0.0183169701373973,0.8665001876163739,0.8884757129654665,0.19297523167497416,6.159976872397196
6,nc30-GMF.out,7,0.013088574498109844,0.8516852624900113,0.9207009561015016,0.9999999928052984,1.3717608689999914
7,nc10-panone-ptnone-banone.out,49,0.009183524096146839,0.893322793787989,0.9643658049481629,1.0,1.7580331824699307
8,nc10-panone-ptquantile-cr0.5-badirect.out,4,0.12554729674503703,0.7078157348309151,0.7062704318563864,0.06256957211981823,36.97730002639341
9,nc30-panone-ptnone-bamomentum-r10.1-r20.9.out,46,0.017091100895514504,0.8796380938586363,0.9110185664695606,0.9999999860153791,0.5623117359228628
10,nc10-panone-ptquantile-cr0.5-banone.out,47,0.00942124746908734,0.8763791173926998,0.9497545377763672,0.5212749005777304,5.654220683228569
11,nc10-paadaptive-ptquantile-cr0.5-ar0.9-banone.out,49,0.006982509361542868,0.9085450160102113,0.9548291597888238,0.1730358223276547,5.720818879833778
12,nc10-GMF.out,7,0.005500718836333574,0.8831128603522492,0.9594414812944543,1.0,1.2569737058791066
13,nc10-panone-ptquantile-cr0.5-basgd-r20.9.out,39,0.008292535609058292,0.9048307302959255,0.9507301926210238,0.5212748978405964,5.692615106290208
14,nc50-paadaptive-ptquantile-cr0.5-ar0.9-bamomentum-r10.1-r20.9.out,47,0.008659190774577292,0.8721786189138868,0.9186614159455812,0.20577224816499473,2.9290743554928738
15,nc50-panone-ptnone-banone.out,49,0.020056982115525767,0.8621400599790562,0.8969287573396872,0.9999999859565131,2.1763177577811343
16,nc10-paadaptive-ptquantile-cr0.5-ar0.9-basgd-r20.9.out,42,0.01094943565933287,0.916033495272884,0.9675533765340925,0.17317739389772252,5.581164062193721
17,nc30-panone-ptquantile-cr0.5-bamomentum-r10.1-r20.9.out,46,0.01450409693496693,0.8736391914886811,0.9046702295897898,0.5332265339099252,1.8998651099786945
18,nc30-paadaptive-ptquantile-cr0.5-ar0.9-basgd-r20.9.out,48,0.01619473635399312,0.8681015823921694,0.9089467702413032,0.1917346826322318,5.712880235559417
19,nc10-panone-ptnone-bamomentum-r10.1-r20.9.out,46,0.010491772309571169,0.9041164445816399,0.9522519056159823,1.0,0.8116684156540266
20,nc30-NCF.out,44,0.02056600224185875,0.8779020719982616,0.9258963083460994,0.8999999874138183,1.706529469723906
21,nc10-panone-ptquantile-cr0.5-bamomentum-r10.1-r20.9.out,43,0.008617159168057133,0.8953985746379635,0.9618772914214718,0.5212781650804998,1.4468949405797822
22,nc10-paadaptive-ptquantile-cr0.5-ar0.9-badirect.out,2,0.10918126167577877,0.7501384570909189,0.7377074645074316,0.03468068557157522,36.95098094405446
23,nc10-panone-ptnone-basgd-r20.9.out,42,0.009323234290859966,0.8837477809871699,0.9529077120742622,1.0,1.7831253446764699
24,nc30-panone-ptquantile-cr0.5-banone.out,47,0.015840982865518716,0.8696396797441305,0.9084380948900146,0.5332228695050266,5.874705976707856
25,nc30-panone-ptquantile-cr0.5-basgd-r20.9.out,45,0.017587831890793094,0.8668071369619651,0.9087190484680848,0.5332228699221667,5.81217189985545
26,nc30-paadaptive-ptquantile-cr0.5-ar0.9-banone.out,49,0.01716611709684931,0.8701434979340849,0.8970904288075168,0.18354212957680985,5.613822497997421
27,nc30-paadaptive-ptquantile-cr0.5-ar0.9-badirect.out,4,0.1291547196252369,0.7074282290795929,0.7043742775081674,0.03259373279971296,12.844737968613934
28,nc30-panone-ptnone-basgd-r20.9.out,47,0.016863975847063218,0.86134391050538,0.8990570996491427,0.9999999860153537,1.8632132532733343
29,nc50-GMF.out,8,0.035456610506667596,0.8347332588110272,0.9111166639637743,0.9999999934566565,1.7955702580184436
30,nc10-NCF.out,46,0.012301182623055348,0.9226469374805537,0.943589125465718,1.0,1.7985443238253662
31,nc10-panone-ptnone-badirect.out,3,0.1027599346836853,0.7425142631077916,0.7335773208219006,0.14,31.993445694082787
32,nc50-panone-ptnone-bamomentum-r10.1-r20.9.out,48,0.013513729435161177,0.8708334022161466,0.9140467165898107,0.9999999859565948,0.9080713293339651
33,nc30-MLP.out,7,0.035921817114550426,0.8716737717766029,0.8707279378914362,1.0,1.7247072455686625
34,nc30-paadaptive-ptquantile-cr0.5-ar0.9-bamomentum-r10.1-r20.9.out,38,0.014284364709192747,0.8707447942985392,0.9098299731099316,0.19582713488412917,1.7680712840233443
35,nc50-panone-ptnone-basgd-r20.9.out,49,0.01949534921846094,0.8680168605546609,0.9040372067275285,0.9999999859565131,2.4879408940678633
36,nc50-NCF.out,49,0.019578006922842884,0.8645612832178362,0.9132794473395853,0.9999999859565131,2.4829444220591244
